response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8783,0.0037,0.0000,0.0021,2.8175,0.0526,200,0.0558
2.8784,0.0036,0.0000,0.0020,2.8173,0.0528,200,0.0557
2.8813,0.0036,0.0000,0.0021,2.8727,0.0002,200,0.0556
2.8849,0.0037,0.0000,0.0020,2.8739,0.0026,200,0.0556
2.8866,0.0037,0.0000,0.0020,2.8766,0.0015,200,0.0554
2.8866,0.0038,0.0000,0.0019,2.8731,0.0048,200,0.0555
2.9655,0.0036,0.0000,0.0021,2.8857,0.0712,200,0.0555
2.9665,0.0035,0.0000,0.0021,2.8809,0.0777,200,0.0562
2.9695,0.0035,0.0000,0.0021,2.9574,0.0043,200,0.0562
2.9706,0.0039,0.0000,0.0020,2.9583,0.0036,200,0.0554
0.6960,0.0000,0.0000,0.0001,0.6951,0.0008,200,2.9341
0.6936,0.0000,0.0000,0.0000,0.6931,0.0004,200,2.9369
0.6965,0.0000,0.0000,0.0002,0.6958,0.0003,200,2.9341
0.6717,0.0000,0.0000,0.0000,0.6715,0.0002,200,3.0227
0.6741,0.0000,0.0000,0.0000,0.6736,0.0004,200,3.0210
0.7818,0.0000,0.0000,0.0000,0.7816,0.0001,200,2.9420
0.7833,0.0000,0.0000,0.0000,0.7832,0.0000,200,2.9405
0.6981,0.0000,0.0000,0.0000,0.6980,0.0000,200,3.0260
0.7823,0.0000,0.0000,0.0000,0.7820,0.0003,200,2.9420
0.6987,0.0000,0.0000,0.0000,0.6984,0.0003,200,3.0257
17.3462,0.0004,0.0000,0.0000,17.3447,0.0010,500,23.6951
17.3988,0.0006,0.0000,0.0000,17.3979,0.0001,500,23.7248
17.4054,0.0006,0.0000,0.0000,17.4042,0.0005,500,23.7248
17.4977,0.0004,0.0000,0.0000,17.4904,0.0068,500,23.6328
17.4060,0.0006,0.0000,0.0000,17.4053,0.0001,500,23.7249
17.4097,0.0005,0.0000,0.0000,17.3124,0.0967,500,23.7248
0.2792,0.0000,0.0000,0.0005,0.1865,0.0922,500,41.0413
17.5979,0.0002,0.0000,0.0000,17.5958,0.0018,500,23.7251
17.6903,0.0005,0.0000,0.0000,17.6894,0.0002,500,23.6328
0.1929,0.0000,0.0000,0.0000,0.1928,0.0001,500,41.1302
0.1995,0.0000,0.0000,0.0000,0.1994,0.0000,500,41.1236
0.1925,0.0000,0.0000,0.0000,0.1922,0.0002,500,41.1309
0.1944,0.0000,0.0000,0.0000,0.1943,0.0000,500,41.1305
17.6925,0.0004,0.0000,0.0000,17.6915,0.0004,500,23.6328
0.1920,0.0000,0.0000,0.0001,0.1913,0.0006,500,41.1345
0.0060,0.0000,0.0000,0.0000,0.0042,0.0017,500,41.3205
17.6314,0.0004,0.0000,0.0000,17.6278,0.0032,500,23.6951
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,500,41.3231
0.0986,0.0000,0.0000,0.0000,0.0034,0.0952,500,41.3249
0.1012,0.0000,0.0000,0.0000,0.1011,0.0000,500,41.3230
0.1012,0.0000,0.0000,0.0000,0.1011,0.0000,500,41.3230
0.1016,0.0000,0.0000,0.0000,0.1011,0.0005,500,41.3233
0.1026,0.0000,0.0000,0.0000,0.1025,0.0000,500,41.3231
0.1004,0.0000,0.0000,0.0000,0.1004,0.0000,500,41.3253
0.0994,0.0000,0.0000,0.0000,0.0993,0.0000,500,41.3265
0.1007,0.0000,0.0000,0.0000,0.1006,0.0000,500,41.3265
0.0708,0.0000,0.0000,0.0000,0.0707,0.0001,500,41.3564
0.0708,0.0000,0.0000,0.0000,0.0707,0.0000,500,41.3564
0.0032,0.0000,0.0000,0.0000,0.0029,0.0002,500,41.4242
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,500,41.4235
0.0046,0.0000,0.0000,0.0000,0.0045,0.0001,500,41.4242
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,500,41.4257
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,500,41.4257
0.0052,0.0000,0.0000,0.0000,0.0048,0.0003,500,41.4249
0.0037,0.0000,0.0000,0.0000,0.0029,0.0008,500,41.4272
0.0037,0.0000,0.0000,0.0000,0.0037,0.0000,500,41.4272
0.0040,0.0000,0.0000,0.0000,0.0039,0.0000,500,41.4272
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,500,41.4259
0.0067,0.0000,0.0000,0.0000,0.0064,0.0001,500,41.4557
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,500,41.4559
0.0067,0.0000,0.0000,0.0000,0.0065,0.0002,500,41.4559
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,500,41.4558
0.0639,0.0000,0.0000,0.0000,0.0082,0.0555,500,41.4558
0.0651,0.0000,0.0000,0.0000,0.0647,0.0003,500,41.4558
0.0653,0.0000,0.0000,0.0000,0.0652,0.0000,500,41.4559
0.0220,0.0000,0.0000,0.0000,0.0218,0.0001,500,41.5064
0.0221,0.0000,0.0000,0.0000,0.0218,0.0002,500,41.5064
0.0221,0.0000,0.0000,0.0000,0.0220,0.0000,500,41.5064
0.0731,0.0000,0.0000,0.0000,0.0725,0.0000,500,41.4558
0.0731,0.0000,0.0000,0.0000,0.0653,0.0077,500,41.4558
0.0224,0.0000,0.0000,0.0000,0.0223,0.0000,500,41.5064
0.0729,0.0000,0.0000,0.0000,0.0729,0.0000,500,41.4559
0.0092,0.0000,0.0000,0.0000,0.0090,0.0001,500,41.5197
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,500,41.5209
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,500,41.5212
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,500,41.5288
0.0034,0.0000,0.0000,0.0000,0.0031,0.0003,500,41.5288
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,500,41.5288
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,500,41.5556
0.0089,0.0000,0.0000,0.0001,0.0087,0.0001,500,41.5555
0.0100,0.0000,0.0000,0.0000,0.0099,0.0000,500,41.5556
0.0109,0.0000,0.0000,0.0000,0.0105,0.0003,500,41.5555
0.0126,0.0000,0.0000,0.0000,0.0126,0.0000,500,41.5556
0.0732,0.0000,0.0000,0.0000,0.0730,0.0001,500,41.5555
0.0735,0.0000,0.0000,0.0000,0.0735,0.0000,500,41.5556
0.0734,0.0000,0.0000,0.0000,0.0734,0.0000,500,41.5557
0.0737,0.0000,0.0000,0.0000,0.0736,0.0000,500,41.5556
0.0745,0.0000,0.0000,0.0000,0.0745,0.0000,500,41.5557
0.0238,0.0000,0.0000,0.0000,0.0237,0.0000,500,41.6064
0.0239,0.0000,0.0000,0.0000,0.0238,0.0000,500,41.6064
0.0253,0.0000,0.0000,0.0000,0.0252,0.0000,500,41.6064
0.0256,0.0000,0.0000,0.0000,0.0254,0.0000,500,41.6064
0.0910,0.0000,0.0000,0.0000,0.0909,0.0001,500,41.6302
0.0935,0.0000,0.0000,0.0000,0.0934,0.0000,500,41.6291
0.0663,0.0000,0.0000,0.0000,0.0662,0.0000,500,41.6563
0.0664,0.0000,0.0000,0.0001,0.0661,0.0002,500,41.6564
0.0940,0.0000,0.0000,0.0000,0.0940,0.0000,500,41.6293
0.0950,0.0000,0.0000,0.0000,0.0947,0.0003,500,41.6291
0.0954,0.0000,0.0000,0.0000,0.0924,0.0030,500,41.6287
0.0678,0.0000,0.0000,0.0000,0.0662,0.0015,500,41.6564
0.1178,0.0000,0.0000,0.0000,0.1177,0.0001,500,41.6064
0.0689,0.0000,0.0000,0.0000,0.0688,0.0000,500,41.6563
0.0043,0.0000,0.0000,0.0000,0.0041,0.0001,500,41.7212
0.0050,0.0000,0.0000,0.0000,0.0049,0.0001,500,41.7226
0.0053,0.0000,0.0000,0.0000,0.0049,0.0005,500,41.7228
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,500,41.7226
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,500,41.7233
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,500,41.7242
0.0081,0.0000,0.0000,0.0000,0.0081,0.0000,500,41.7241
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,500,41.7241
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,500,41.7252
0.0092,0.0000,0.0000,0.0000,0.0087,0.0005,500,41.7241
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,500,41.7555
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,500,41.7555
0.0153,0.0000,0.0000,0.0000,0.0152,0.0001,500,41.7555
0.0152,0.0000,0.0000,0.0000,0.0152,0.0001,500,41.7556
0.0153,0.0000,0.0000,0.0000,0.0152,0.0001,500,41.7556
0.0158,0.0000,0.0000,0.0001,0.0156,0.0000,500,41.7555
0.0688,0.0000,0.0000,0.0000,0.0686,0.0001,500,41.7554
0.0687,0.0000,0.0000,0.0000,0.0684,0.0003,500,41.7555
0.0687,0.0000,0.0000,0.0000,0.0683,0.0004,500,41.7556
