response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
14.3852,0.0020,0.0000,0.0002,14.3816,0.0008,200,0.2037
14.3852,0.0018,0.0000,0.0003,14.2915,0.0909,200,0.2037
0.2048,0.0000,0.0000,0.0001,0.2039,0.0007,200,14.5889
0.2056,0.0000,0.0000,0.0001,0.2051,0.0003,200,14.5889
0.1431,0.0000,0.0000,0.0000,0.1402,0.0029,200,14.7937
0.1423,0.0000,0.0000,0.0000,0.1423,0.0000,200,14.7945
0.1449,0.0000,0.0000,0.0000,0.1409,0.0039,200,14.9368
0.1449,0.0000,0.0000,0.0000,0.1409,0.0040,200,14.9368
0.2015,0.0000,0.0000,0.0000,0.2014,0.0001,200,15.0817
0.2020,0.0000,0.0000,0.0000,0.2018,0.0001,200,15.0817
0.1245,0.0000,0.0000,0.0000,0.1241,0.0004,200,15.2832
0.1301,0.0000,0.0000,0.0000,0.1295,0.0006,200,15.2837
0.1363,0.0000,0.0000,0.0000,0.1362,0.0001,200,15.4078
0.1311,0.0000,0.0000,0.0000,0.1304,0.0006,200,15.4138
0.1322,0.0000,0.0000,0.0000,0.1316,0.0006,200,15.6044
0.1322,0.0000,0.0000,0.0000,0.1318,0.0004,200,15.6044
0.1371,0.0000,0.0000,0.0000,0.1359,0.0011,200,15.8045
0.1378,0.0000,0.0000,0.0000,0.1373,0.0004,200,15.8044
0.1593,0.0000,0.0000,0.0000,0.1575,0.0016,200,16.0044
0.1595,0.0000,0.0000,0.0000,0.1594,0.0000,200,16.0045
0.1542,0.0000,0.0000,0.0000,0.1540,0.0002,200,16.2035
0.1545,0.0000,0.0000,0.0000,0.1543,0.0002,200,16.2036
0.1262,0.0000,0.0000,0.0000,0.1257,0.0005,200,16.4044
0.1268,0.0000,0.0000,0.0001,0.1262,0.0006,200,16.4044
0.1801,0.0004,0.0000,0.0001,0.1792,0.0001,500,56.6105
0.1808,0.0006,0.0000,0.0000,0.1795,0.0006,500,56.6108
1.2050,0.0000,0.0000,0.0000,1.2038,0.0011,200,56.8044
1.2051,0.0000,0.0000,0.0000,1.2034,0.0017,200,56.8044
0.2329,0.0000,0.0000,0.0000,0.2323,0.0006,200,58.0095
0.2395,0.0000,0.0000,0.0000,0.2375,0.0019,200,58.0094
0.2866,0.0000,0.0000,0.0000,0.2864,0.0001,200,58.2490
0.2959,0.0000,0.0000,0.0000,0.2930,0.0028,200,58.2425
0.1684,0.0000,0.0000,0.0000,0.1680,0.0004,200,58.5356
0.1656,0.0000,0.0000,0.0000,0.1655,0.0001,200,58.5384
0.1347,0.0000,0.0000,0.0000,0.1343,0.0004,200,58.7040
0.1364,0.0000,0.0000,0.0000,0.1357,0.0006,200,58.7040
0.1473,0.0000,0.0000,0.0000,0.1470,0.0002,200,58.8404
0.1496,0.0000,0.0000,0.0000,0.1487,0.0009,200,58.8387
0.1471,0.0000,0.0000,0.0000,0.1469,0.0001,200,59.0044
0.1471,0.0000,0.0000,0.0001,0.1470,0.0000,200,59.0044
0.1293,0.0000,0.0000,0.0000,0.1292,0.0001,200,59.2044
0.1293,0.0000,0.0000,0.0000,0.1292,0.0000,200,59.2044
0.1521,0.0000,0.0000,0.0000,0.1514,0.0006,200,59.4039
0.1524,0.0000,0.0000,0.0000,0.1521,0.0002,200,59.4039
0.2064,0.0000,0.0000,0.0000,0.2062,0.0001,200,59.6044
