response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3462,0.0077,0.0000,0.0003,0.3353,0.0002,200,0.5050
0.1181,0.0000,0.0000,0.0000,0.1178,0.0001,200,1.0032
0.2569,0.0000,0.0000,0.0000,0.2565,0.0002,200,1.5041
0.0514,0.0000,0.0000,0.0000,0.0504,0.0010,200,2.0031
0.2864,0.0000,0.0000,0.0001,0.1885,0.0977,200,2.5093
0.0753,0.0000,0.0000,0.0000,0.0750,0.0001,200,3.0033
0.1133,0.0000,0.0000,0.0000,0.1130,0.0001,200,3.5040
0.0585,0.0000,0.0000,0.0000,0.0581,0.0004,200,4.0040
0.0428,0.0000,0.0000,0.0001,0.0418,0.0007,200,4.5040
0.0579,0.0000,0.0000,0.0001,0.0576,0.0001,200,5.0040
0.0823,0.0000,0.0000,0.0000,0.0821,0.0001,200,5.5034
0.0655,0.0000,0.0000,0.0000,0.0651,0.0001,200,6.0037
0.0476,0.0000,0.0000,0.0001,0.0441,0.0001,200,6.5037
0.0532,0.0000,0.0000,0.0000,0.0528,0.0003,200,7.0040
0.0339,0.0000,0.0000,0.0001,0.0335,0.0001,200,7.5033
0.1084,0.0000,0.0000,0.0001,0.1073,0.0004,200,8.0047
0.0373,0.0000,0.0000,0.0000,0.0367,0.0005,200,8.5040
0.0512,0.0000,0.0000,0.0001,0.0502,0.0008,200,9.0040
0.1725,0.0000,0.0000,0.0000,0.1689,0.0033,200,9.5053
0.0584,0.0000,0.0000,0.0000,0.0581,0.0001,200,10.0041
0.0685,0.0000,0.0000,0.0000,0.0683,0.0001,200,10.5040
0.0664,0.0000,0.0000,0.0001,0.0659,0.0001,200,11.0037
14.8400,0.0005,0.0000,0.0000,14.8381,0.0013,500,31.5075
0.3052,0.0000,0.0000,0.0001,0.3036,0.0008,200,46.3477
0.0661,0.0000,0.0000,0.0000,0.0656,0.0004,200,46.6529
0.0827,0.0000,0.0000,0.0000,0.0824,0.0003,200,47.0030
0.0606,0.0000,0.0000,0.0001,0.0601,0.0002,200,47.5041
0.2654,0.0000,0.0000,0.0000,0.2651,0.0001,200,48.0040
0.0595,0.0000,0.0000,0.0001,0.0591,0.0002,200,48.5041
0.0603,0.0000,0.0000,0.0001,0.0600,0.0001,200,49.0037
0.0513,0.0000,0.0000,0.0000,0.0508,0.0003,200,49.5040
0.0752,0.0000,0.0000,0.0000,0.0748,0.0002,200,50.0034
0.1093,0.0000,0.0000,0.0001,0.1088,0.0002,200,50.5037
0.1122,0.0000,0.0000,0.0001,0.1119,0.0001,200,51.0037
0.0436,0.0000,0.0000,0.0000,0.0435,0.0000,200,51.5032
0.1108,0.0000,0.0000,0.0000,0.1106,0.0001,200,52.0040
0.0838,0.0000,0.0000,0.0000,0.0835,0.0001,200,52.5040
0.0533,0.0000,0.0000,0.0001,0.0528,0.0001,200,53.0038
0.2093,0.0000,0.0000,0.0000,0.2091,0.0001,200,53.5037
0.0499,0.0000,0.0000,0.0001,0.0496,0.0001,200,54.0045
0.1684,0.0000,0.0000,0.0000,0.1664,0.0019,200,54.5040
0.1129,0.0000,0.0000,0.0001,0.1125,0.0001,200,55.0040
0.6374,0.0000,0.0000,0.0000,0.6363,0.0011,200,55.5040
0.5215,0.0000,0.0000,0.0001,0.5207,0.0002,200,56.1415
0.2860,0.0000,0.0000,0.0000,0.2856,0.0003,200,56.6630
14.8031,0.0009,0.0000,0.0001,14.8011,0.0004,500,77.0143
0.2945,0.0000,0.0000,0.0000,0.2936,0.0004,200,91.8174
0.1405,0.0000,0.0000,0.0000,0.1403,0.0001,200,92.1119
0.0670,0.0000,0.0000,0.0000,0.0667,0.0001,200,92.5040
0.2754,0.0000,0.0000,0.0004,0.2733,0.0001,200,93.0035
0.0544,0.0000,0.0000,0.0000,0.0537,0.0002,200,93.5031
0.0908,0.0000,0.0000,0.0001,0.0903,0.0002,200,94.0041
0.0730,0.0000,0.0000,0.0000,0.0728,0.0001,200,94.5037
0.0784,0.0000,0.0000,0.0000,0.0778,0.0004,200,95.0040
0.2801,0.0000,0.0000,0.0001,0.2797,0.0002,200,95.5036
0.0817,0.0000,0.0000,0.0001,0.0814,0.0001,200,96.0034
0.1111,0.0000,0.0000,0.0000,0.1108,0.0002,200,96.5040
0.0429,0.0000,0.0000,0.0000,0.0419,0.0008,200,97.0033
0.0558,0.0000,0.0000,0.0000,0.0550,0.0006,200,97.5036
0.1546,0.0000,0.0000,0.0000,0.1542,0.0002,200,98.0040
0.0982,0.0000,0.0000,0.0001,0.0976,0.0002,200,98.5034
0.0562,0.0000,0.0000,0.0000,0.0513,0.0001,200,99.0084
0.0672,0.0000,0.0000,0.0001,0.0667,0.0003,200,99.5039
0.0906,0.0000,0.0000,0.0000,0.0903,0.0002,200,100.0041
0.0408,0.0000,0.0000,0.0000,0.0390,0.0008,200,100.5031
0.1076,0.0000,0.0000,0.0000,0.1065,0.0009,200,101.0036
0.1142,0.0000,0.0000,0.0000,0.1137,0.0004,200,101.5036
0.0497,0.0000,0.0000,0.0001,0.0492,0.0003,200,102.0040
0.0975,0.0000,0.0000,0.0001,0.0972,0.0001,200,102.5035
13.2922,0.0014,0.0000,0.0001,13.2901,0.0005,500,123.0075
0.2187,0.0000,0.0000,0.0001,0.2181,0.0005,200,136.2998
0.0526,0.0000,0.0000,0.0000,0.0522,0.0003,200,136.5185
0.2078,0.0000,0.0000,0.0001,0.2075,0.0001,200,137.0040
0.0438,0.0000,0.0000,0.0000,0.0430,0.0007,200,137.5040
0.0708,0.0000,0.0000,0.0002,0.0700,0.0001,200,138.0043
0.0450,0.0000,0.0000,0.0001,0.0445,0.0003,200,138.5037
0.0817,0.0000,0.0000,0.0001,0.0814,0.0001,200,139.0040
0.0536,0.0000,0.0000,0.0000,0.0534,0.0001,200,139.5040
0.0532,0.0000,0.0000,0.0001,0.0525,0.0004,200,140.0034
0.1253,0.0000,0.0000,0.0000,0.1250,0.0002,200,140.5040
0.0338,0.0000,0.0000,0.0000,0.0327,0.0001,200,141.0040
0.0600,0.0000,0.0000,0.0000,0.0591,0.0008,200,141.5040
0.0802,0.0000,0.0000,0.0001,0.0798,0.0001,200,142.0040
0.3653,0.0000,0.0000,0.0001,0.3650,0.0002,200,142.5040
0.0305,0.0000,0.0000,0.0001,0.0303,0.0001,200,143.0031
0.1709,0.0000,0.0000,0.0001,0.1703,0.0001,200,143.5042
0.0535,0.0000,0.0000,0.0001,0.0532,0.0001,200,144.0040
0.0363,0.0000,0.0000,0.0000,0.0355,0.0004,200,144.5040
0.0495,0.0000,0.0000,0.0000,0.0489,0.0005,200,145.0032
