timestamp,adservice-64dd5464b8-njz96,cartservice-c96c85b55-9v2kt,checkoutservice-dcf4c5c7b-cqpzd,currencyservice-8fdf6cf9d-8zlx2,emailservice-7fd5f66d9d-pn94r,frontend-759775d795-97pzx,paymentservice-66c65775b-8tp7v,productcatalogservice-c4cfd98fb-52hf5,recommendationservice-b5b5bfc56-sl4nf,redis-cart-6899b65948-t4dgl,shippingservice-5dcc4d7bd-gsbz6
1779958357,527818752,318287872,37609472,115695616,123248640,56414208,182714368,47230976,113586176,27856896,37208064
1779958362,526278656,318287872,37609472,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958367,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958372,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958377,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958382,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958387,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958392,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958397,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958402,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958407,524742656,318271488,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958412,524742656,318341120,37613568,115695616,123248640,56856576,182644736,47230976,113586176,27856896,37208064
1779958417,524738560,318410752,37613568,115695616,123244544,56856576,182755328,47230976,113594368,27856896,37474304
1779958422,524734464,318410752,37613568,115695616,123244544,56856576,182865920,47230976,113594368,27856896,37474304
1779958427,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958432,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958437,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958442,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958447,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958452,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958457,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958462,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958467,524734464,318410752,37609472,115695616,123244544,56504320,182865920,47230976,113594368,27856896,37474304
1779958472,524746752,318410752,37613568,115695616,123248640,56545280,182865920,47235072,113594368,27856896,37474304
1779958477,524746752,318423040,37609472,49889280,123248640,56651776,182865920,47235072,113594368,27856896,37203968
1779958482,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113594368,27856896,37203968
1779958487,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958492,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958497,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958502,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958507,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958512,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958517,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958522,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958527,524759040,318435328,37609472,49889280,123248640,56651776,182763520,47235072,113852416,27856896,37203968
1779958532,524759040,318435328,37613568,49889280,123248640,56651776,182763520,47235072,113594368,27856896,37203968
