response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
6.7374,0.0028,0.0000,0.0013,6.7304,0.0003,200,0.2046
6.7936,0.0026,0.0000,0.0015,6.7299,0.0576,200,0.2052
6.7945,0.0026,0.0000,0.0015,6.7875,0.0002,200,0.2045
6.7947,0.0028,0.0000,0.0013,6.7335,0.0544,200,0.2046
6.7953,0.0027,0.0000,0.0013,6.7303,0.0583,200,0.2047
6.7956,0.0029,0.0000,0.0010,6.7886,0.0002,200,0.2046
6.7961,0.0028,0.0000,0.0013,6.7892,0.0003,200,0.2046
6.7963,0.0026,0.0000,0.0015,6.7897,0.0005,200,0.2052
6.9920,0.0026,0.0000,0.0015,6.8912,0.0941,200,0.2046
6.9922,0.0026,0.0000,0.0015,6.8925,0.0927,200,0.2045
0.6121,0.0000,0.0000,0.0000,0.6093,0.0027,200,6.9420
1.0189,0.0000,0.0000,0.0000,1.0182,0.0007,200,7.1966
1.2149,0.0000,0.0000,0.0000,1.2148,0.0000,200,7.0007
1.2265,0.0000,0.0000,0.0000,1.2260,0.0004,200,6.9990
1.2266,0.0000,0.0000,0.0000,1.2259,0.0006,200,7.0000
1.2286,0.0000,0.0000,0.0000,1.2272,0.0014,200,6.9993
1.2293,0.0000,0.0000,0.0000,1.2291,0.0001,200,6.9987
1.2289,0.0000,0.0000,0.0000,1.2280,0.0008,200,7.0002
1.0418,0.0000,0.0000,0.0000,1.0415,0.0003,200,7.1966
1.2370,0.0000,0.0000,0.0000,1.2369,0.0000,200,7.0015
0.7524,0.0000,0.0000,0.0000,0.7522,0.0002,200,7.5541
1.4042,0.0004,0.0000,0.0000,1.4035,0.0002,500,28.3078
1.4775,0.0010,0.0000,0.0002,1.4762,0.0000,500,28.2346
1.4939,0.0138,0.0000,0.0007,1.4793,0.0001,500,28.2182
1.4770,0.0002,0.0000,0.0000,1.4768,0.0001,500,28.2357
1.4785,0.0013,0.0000,0.0000,1.4771,0.0000,500,28.2345
1.4798,0.0009,0.0000,0.0014,1.4774,0.0000,500,28.2333
1.4741,0.0003,0.0000,0.0000,1.4737,0.0000,500,28.2390
1.4951,0.0026,0.0000,0.0002,1.4922,0.0001,500,28.2182
1.4745,0.0002,0.0000,0.0000,1.4743,0.0000,500,28.2391
1.4797,0.0019,0.0000,0.0000,1.4778,0.0000,500,28.2340
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,500,29.7120
0.0075,0.0000,0.0000,0.0000,0.0075,0.0000,500,29.7131
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,500,29.7121
0.0076,0.0000,0.0000,0.0000,0.0076,0.0000,500,29.7130
0.0096,0.0000,0.0000,0.0000,0.0085,0.0010,500,29.7121
0.0086,0.0000,0.0000,0.0000,0.0067,0.0019,500,29.7131
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,500,29.7137
