response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4914,0.0031,0.0000,0.0010,1.4860,0.0007,200,0.1057
3.5922,0.0036,0.0000,0.0014,3.5861,0.0002,200,0.1049
3.5923,0.0037,0.0000,0.0010,3.5865,0.0005,200,0.1050
3.5925,0.0036,0.0000,0.0004,3.5877,0.0000,200,0.1048
3.5934,0.0037,0.0000,0.0014,3.5868,0.0005,200,0.1047
3.5935,0.0038,0.0000,0.0009,3.5878,0.0000,200,0.1047
3.5933,0.0037,0.0000,0.0014,3.5872,0.0003,200,0.1049
3.5935,0.0036,0.0000,0.0013,3.5857,0.0018,200,0.1048
3.5927,0.0031,0.0000,0.0014,3.5876,0.0001,200,0.1057
3.8411,0.0038,0.0000,0.0010,3.8355,0.0001,200,0.1048
2.5551,0.0000,0.0000,0.0002,2.5546,0.0002,200,1.5971
1.5004,0.0000,0.0000,0.0000,1.4988,0.0015,200,3.6984
1.5017,0.0000,0.0000,0.0001,1.5001,0.0014,200,3.6970
1.5609,0.0000,0.0000,0.0000,1.5608,0.0001,200,3.6983
1.5620,0.0000,0.0000,0.0000,1.5617,0.0002,200,3.6982
1.5640,0.0000,0.0000,0.0000,1.5635,0.0004,200,3.6973
1.6566,0.0000,0.0000,0.0000,1.6561,0.0004,200,3.6981
1.4108,0.0000,0.0000,0.0000,1.4096,0.0011,200,3.9459
1.6621,0.0000,0.0000,0.0000,1.6588,0.0032,200,3.6973
1.6620,0.0000,0.0000,0.0000,1.6616,0.0004,200,3.6982
1.2088,0.0000,0.0000,0.0000,1.2084,0.0004,200,4.1522
19.3138,0.0000,0.0000,0.0000,19.3131,0.0006,500,5.3603
19.4651,0.0000,0.0000,0.0000,19.4132,0.0519,500,5.2592
19.5282,0.0000,0.0000,0.0000,19.5278,0.0003,500,5.1987
19.4694,0.0000,0.0000,0.0000,19.4693,0.0001,500,5.2602
19.3702,0.0000,0.0000,0.0000,19.3141,0.0560,500,5.3594
19.3749,0.0000,0.0000,0.0000,19.3747,0.0001,500,5.3547
19.5312,0.0000,0.0000,0.0000,19.5308,0.0004,500,5.1987
19.3689,0.0000,0.0000,0.0000,19.3688,0.0000,500,5.3611
0.0576,0.0000,0.0000,0.0003,0.0568,0.0003,500,24.6741
19.3772,0.0000,0.0000,0.0000,19.3770,0.0001,500,5.3568
19.4727,0.0000,0.0000,0.0000,19.4725,0.0001,500,5.2613
0.0075,0.0000,0.0000,0.0000,0.0068,0.0006,500,24.7269
0.0101,0.0000,0.0000,0.0001,0.0099,0.0000,500,24.7243
0.0094,0.0000,0.0000,0.0000,0.0093,0.0001,500,24.7296
0.0938,0.0000,0.0000,0.0000,0.0104,0.0834,500,24.7299
0.0941,0.0000,0.0000,0.0000,0.0109,0.0832,500,24.7296
0.0957,0.0000,0.0000,0.0000,0.0956,0.0001,500,24.7296
0.0953,0.0000,0.0000,0.0000,0.0952,0.0001,500,24.7299
0.0205,0.0000,0.0000,0.0000,0.0204,0.0000,500,24.8047
0.0240,0.0000,0.0000,0.0000,0.0239,0.0001,500,24.8048
0.0082,0.0000,0.0000,0.0000,0.0077,0.0005,500,24.8253
0.1046,0.0000,0.0000,0.0000,0.1008,0.0037,500,24.7340
0.1995,0.0000,0.0000,0.0000,0.1993,0.0001,500,24.7317
0.1993,0.0000,0.0000,0.0000,0.1976,0.0016,500,24.7340
0.0307,0.0000,0.0000,0.0000,0.0262,0.0044,500,24.9049
0.0309,0.0000,0.0000,0.0000,0.0308,0.0001,500,24.9047
0.1104,0.0000,0.0000,0.0000,0.1103,0.0000,500,24.8253
0.1310,0.0000,0.0000,0.0000,0.1308,0.0000,500,24.8047
0.0307,0.0000,0.0000,0.0000,0.0307,0.0000,500,24.9050
0.1154,0.0000,0.0000,0.0000,0.1033,0.0121,500,24.8237
0.1156,0.0000,0.0000,0.0000,0.1130,0.0025,500,24.8237
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,500,24.9312
0.1869,0.0000,0.0000,0.0000,0.1867,0.0001,500,24.8385
0.0924,0.0000,0.0000,0.0000,0.0904,0.0020,500,24.9332
0.0209,0.0000,0.0000,0.0000,0.0209,0.0000,500,25.0048
0.0902,0.0000,0.0000,0.0000,0.0901,0.0000,500,24.9357
0.0222,0.0000,0.0000,0.0001,0.0219,0.0002,500,25.0049
0.0251,0.0000,0.0000,0.0000,0.0250,0.0001,500,25.0048
0.0251,0.0000,0.0000,0.0000,0.0250,0.0000,500,25.0047
0.0053,0.0000,0.0000,0.0000,0.0052,0.0001,500,25.0258
0.0919,0.0000,0.0000,0.0000,0.0905,0.0014,500,24.9393
0.0057,0.0000,0.0000,0.0000,0.0056,0.0000,500,25.0254
0.0056,0.0000,0.0000,0.0000,0.0055,0.0000,500,25.0257
0.0959,0.0000,0.0000,0.0000,0.0958,0.0000,500,24.9357
0.0937,0.0000,0.0000,0.0000,0.0935,0.0001,500,24.9392
0.0036,0.0000,0.0000,0.0000,0.0032,0.0004,500,25.0315
0.0043,0.0000,0.0000,0.0000,0.0043,0.0000,500,25.0312
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,500,25.0328
0.0104,0.0000,0.0000,0.0000,0.0103,0.0001,500,25.1047
0.0104,0.0000,0.0000,0.0001,0.0101,0.0001,500,25.1047
0.0103,0.0000,0.0000,0.0001,0.0101,0.0001,500,25.1049
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,500,25.1047
0.0103,0.0000,0.0000,0.0000,0.0103,0.0000,500,25.1048
0.0101,0.0000,0.0000,0.0000,0.0101,0.0001,500,25.1051
0.0101,0.0000,0.0000,0.0000,0.0101,0.0001,500,25.1051
0.0112,0.0000,0.0000,0.0000,0.0102,0.0009,500,25.1048
0.0111,0.0000,0.0000,0.0001,0.0110,0.0000,500,25.1049
0.0186,0.0000,0.0000,0.0000,0.0184,0.0001,500,25.1050
0.0044,0.0000,0.0000,0.0000,0.0043,0.0001,500,25.2049
0.0074,0.0000,0.0000,0.0000,0.0074,0.0000,500,25.2049
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,500,25.2048
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,500,25.2048
0.0085,0.0000,0.0000,0.0000,0.0085,0.0000,500,25.2049
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,500,25.2049
0.0087,0.0000,0.0000,0.0000,0.0085,0.0000,500,25.2047
0.0087,0.0000,0.0000,0.0000,0.0085,0.0001,500,25.2047
0.0086,0.0000,0.0000,0.0000,0.0044,0.0041,500,25.2049
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,500,25.2050
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,500,25.3048
0.0117,0.0000,0.0000,0.0000,0.0117,0.0001,500,25.3048
0.0149,0.0000,0.0000,0.0001,0.0146,0.0002,500,25.3049
0.0176,0.0000,0.0000,0.0000,0.0175,0.0001,500,25.3047
0.0211,0.0000,0.0000,0.0000,0.0210,0.0001,500,25.3047
0.0220,0.0000,0.0000,0.0000,0.0211,0.0008,500,25.3046
0.0221,0.0000,0.0000,0.0000,0.0221,0.0000,500,25.3048
0.0260,0.0000,0.0000,0.0000,0.0258,0.0001,500,25.3048
0.0282,0.0000,0.0000,0.0001,0.0280,0.0001,500,25.3045
0.0280,0.0000,0.0000,0.0000,0.0268,0.0012,500,25.3047
0.0079,0.0000,0.0000,0.0000,0.0072,0.0007,500,25.4045
0.0110,0.0000,0.0000,0.0000,0.0087,0.0023,500,25.4054
0.0111,0.0000,0.0000,0.0000,0.0110,0.0001,500,25.4053
0.0111,0.0000,0.0000,0.0000,0.0110,0.0001,500,25.4054
0.0119,0.0000,0.0000,0.0000,0.0111,0.0008,500,25.4053
0.0129,0.0000,0.0000,0.0000,0.0128,0.0000,500,25.4043
0.0128,0.0000,0.0000,0.0000,0.0128,0.0000,500,25.4047
0.0161,0.0000,0.0000,0.0000,0.0160,0.0001,500,25.4045
0.0160,0.0000,0.0000,0.0000,0.0159,0.0001,500,25.4046
0.0170,0.0000,0.0000,0.0000,0.0169,0.0001,500,25.4047
0.0105,0.0000,0.0000,0.0000,0.0104,0.0001,500,25.5050
0.0105,0.0000,0.0000,0.0000,0.0104,0.0001,500,25.5050
0.0106,0.0000,0.0000,0.0000,0.0105,0.0001,500,25.5050
0.0111,0.0000,0.0000,0.0000,0.0109,0.0000,500,25.5047
