response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.5886,0.0004,0.0000,0.0001,0.5877,0.0003,200,0.1041
0.6138,0.0005,0.0000,0.0001,0.6131,0.0001,200,0.1040
0.6141,0.0005,0.0000,0.0001,0.6127,0.0008,200,0.1040
0.3077,0.0000,0.0000,0.0001,0.3060,0.0015,200,0.6927
0.2845,0.0000,0.0000,0.0001,0.2844,0.0001,200,0.7181
0.2968,0.0000,0.0000,0.0000,0.2965,0.0003,200,0.7178
0.3062,0.0000,0.0000,0.0000,0.3049,0.0012,200,1.0003
0.3039,0.0000,0.0000,0.0000,0.3038,0.0001,200,1.0027
0.2919,0.0000,0.0000,0.0000,0.2917,0.0001,200,1.0147
0.1761,0.0000,0.0000,0.0000,0.1737,0.0023,200,1.3065
0.2585,0.0000,0.0000,0.0000,0.2583,0.0002,200,1.3065
0.2584,0.0000,0.0000,0.0000,0.2584,0.0000,200,1.3066
0.1353,0.0000,0.0000,0.0001,0.1346,0.0006,200,1.4826
0.1406,0.0000,0.0000,0.0000,0.1383,0.0022,200,1.5651
0.1406,0.0000,0.0000,0.0000,0.1405,0.0001,200,1.5650
0.1746,0.0000,0.0000,0.0000,0.1645,0.0100,200,1.6180
0.1916,0.0000,0.0000,0.0000,0.1914,0.0001,200,1.7056
0.1970,0.0000,0.0000,0.0000,0.1913,0.0057,200,1.7056
0.2058,0.0000,0.0000,0.0000,0.2054,0.0004,200,1.7926
0.3138,0.0000,0.0000,0.0000,0.3135,0.0002,200,1.8972
0.3120,0.0000,0.0000,0.0000,0.3119,0.0001,200,1.9026
0.2956,0.0000,0.0000,0.0000,0.2566,0.0390,200,1.9984
13.1906,0.0005,0.0000,0.0000,13.1887,0.0012,500,22.2155
13.1906,0.0005,0.0000,0.0000,13.1897,0.0002,500,22.2155
13.1113,0.0007,0.0000,0.0000,13.1103,0.0002,500,22.2948
