response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.1302,0.0029,0.0000,0.0010,4.9370,0.1890,200,0.1040
5.1346,0.0029,0.0000,0.0010,5.1258,0.0045,200,0.1040
5.1354,0.0028,0.0000,0.0010,5.1304,0.0011,200,0.1042
5.1357,0.0025,0.0000,0.0010,5.1310,0.0005,200,0.1039
5.1358,0.0029,0.0000,0.0010,5.1311,0.0004,200,0.1039
5.1354,0.0029,0.0000,0.0001,4.9365,0.1959,200,0.1043
5.1397,0.0028,0.0000,0.0007,5.1322,0.0032,200,0.1039
5.1433,0.0029,0.0000,0.0010,5.0379,0.1012,200,0.1040
5.1433,0.0030,0.0000,0.0009,5.1315,0.0077,200,0.1040
5.1434,0.0033,0.0000,0.0007,5.1391,0.0001,200,0.1039
1.3445,0.0000,0.0000,0.0000,1.3443,0.0001,200,5.2397
1.3540,0.0000,0.0000,0.0001,1.3538,0.0001,200,5.2342
1.3487,0.0000,0.0000,0.0000,1.3483,0.0003,200,5.2396
1.4423,0.0000,0.0000,0.0000,1.4386,0.0037,200,5.2396
1.4433,0.0000,0.0000,0.0000,1.4396,0.0036,200,5.2386
1.4350,0.0000,0.0000,0.0000,1.4349,0.0000,200,5.2473
1.4426,0.0000,0.0000,0.0000,1.4421,0.0005,200,5.2397
1.4388,0.0000,0.0000,0.0000,1.4369,0.0019,200,5.2474
1.4455,0.0000,0.0000,0.0000,1.4438,0.0016,200,5.2436
1.4976,0.0000,0.0000,0.0000,1.4385,0.0590,200,5.2473
11.8044,0.0004,0.0000,0.0000,11.8033,0.0005,500,26.6831
11.8044,0.0004,0.0000,0.0000,11.8033,0.0007,500,26.6832
11.8035,0.0003,0.0000,0.0000,11.8031,0.0001,500,26.6864
11.8999,0.0006,0.0000,0.0001,11.8990,0.0001,500,26.5901
11.8070,0.0004,0.0000,0.0000,11.8062,0.0003,500,26.6831
11.8011,0.0009,0.0000,0.0001,11.8000,0.0001,500,26.6897
11.9711,0.0006,0.0000,0.0001,11.9687,0.0017,500,26.5901
11.8240,0.0003,0.0000,0.0000,11.7353,0.0882,500,26.7455
12.0598,0.0006,0.0000,0.0001,11.9790,0.0801,500,26.5900
11.9668,0.0005,0.0000,0.0000,11.8860,0.0803,500,26.6831
