response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.7298,0.0042,0.0000,0.0016,0.7197,0.0037,200,0.1061
1.2744,0.0043,0.0000,0.0014,1.2680,0.0003,200,0.1061
1.2744,0.0042,0.0000,0.0013,1.2680,0.0002,200,0.1061
1.2748,0.0042,0.0000,0.0014,1.2684,0.0002,200,0.1060
1.2821,0.0054,0.0000,0.0003,1.2757,0.0001,200,0.1061
1.2824,0.0042,0.0000,0.0014,1.2761,0.0001,200,0.1061
1.2846,0.0042,0.0000,0.0014,1.2783,0.0001,200,0.1061
1.2846,0.0042,0.0000,0.0014,1.2777,0.0008,200,0.1061
1.2844,0.0041,0.0000,0.0014,1.2778,0.0011,200,0.1067
0.5790,0.0000,0.0000,0.0001,0.5785,0.0003,200,0.8359
1.3765,0.0054,0.0000,0.0002,1.3634,0.0076,200,0.1067
0.7714,0.0000,0.0000,0.0000,0.7710,0.0003,200,1.3911
0.9922,0.0000,0.0000,0.0001,0.9920,0.0001,200,1.3808
0.9848,0.0000,0.0000,0.0000,0.9846,0.0001,200,1.3883
0.9878,0.0000,0.0000,0.0000,0.9876,0.0001,200,1.3907
1.0024,0.0000,0.0000,0.0000,1.0022,0.0001,200,1.3885
0.9759,0.0000,0.0000,0.0000,0.9758,0.0000,200,1.4149
1.0111,0.0000,0.0000,0.0000,1.0103,0.0008,200,1.3805
1.0127,0.0000,0.0000,0.0000,1.0125,0.0002,200,1.3805
0.9769,0.0000,0.0000,0.0000,0.9767,0.0001,200,1.4833
1.0694,0.0000,0.0000,0.0000,1.0693,0.0001,200,1.3908
0.3076,0.0000,0.0000,0.0000,0.3074,0.0001,200,2.1625
15.4971,0.0006,0.0000,0.0000,15.4961,0.0003,500,22.4615
15.5789,0.0003,0.0000,0.0001,15.5783,0.0001,500,22.3923
15.5943,0.0005,0.0000,0.0001,15.5933,0.0002,500,22.3772
15.5945,0.0005,0.0000,0.0001,15.5937,0.0001,500,22.3772
15.5784,0.0002,0.0000,0.0000,15.5781,0.0001,500,22.3934
15.5011,0.0005,0.0000,0.0001,15.5004,0.0002,500,22.4708
15.5938,0.0003,0.0000,0.0001,15.5933,0.0000,500,22.3787
15.5804,0.0004,0.0000,0.0000,15.5799,0.0000,500,22.3923
15.5116,0.0008,0.0000,0.0000,15.5108,0.0000,500,22.4614
15.5808,0.0004,0.0000,0.0000,15.5802,0.0000,500,22.3922
